CALLE,SUPERFICIE,PRECIOUSD,PRECIOPESOS,USDM2,ANTIG,EN_GALERIA,COTIZ,TRIMESTRE,BARRIO,COMUNA
COMBATE DE LOS POZOS 100,88,160000,10080000,1818,0,NO,63,PRIMER,BALVANERA,3
COMBATE DE LOS POZOS 600,30,90000,5670000,3000,40,NO,63,PRIMER,BALVANERA,3
CORDOBA 2600,228,395000,24885000,1732,0,NO,63,PRIMER,BALVANERA,3
CORDOBA 2800,205,390000,24570000,1902,0,NO,63,PRIMER,BALVANERA,3
CORDOBA 3100,230,280000,17640000,1217,0,NO,63,PRIMER,BALVANERA,3
CORDOBA 3100,120,1000000,63000000,8333,0,NO,63,PRIMER,BALVANERA,3
CORDOBA 3109,250,310000,19530000,1240,20,NO,63,PRIMER,BALVANERA,3
CORRIENTES 2000,280,770000,48510000,2750,9,SI,63,PRIMER,BALVANERA,3
CORRIENTES 2000,300,1300000,81900000,4333,0,NO,63,PRIMER,BALVANERA,3
CORRIENTES 2100,45,59500,3748500,1322,40,NO,63,PRIMER,BALVANERA,3
CORRIENTES 2100,46,76000,4788000,1652,40,NO,63,PRIMER,BALVANERA,3
CORRIENTES 2200,300,1375000,86625000,4583,0,NO,63,PRIMER,BALVANERA,3
CORRIENTES 2300,190,1050000,66150000,5526,30,SI,63,PRIMER,BALVANERA,3
CORRIENTES 2457,457,200000,12600000,438,40,NO,63,PRIMER,BALVANERA,3
CORRIENTES 2500,110,140000,8820000,1273,40,NO,63,PRIMER,BALVANERA,3
CORRIENTES 2500,106,139000,8757000,1311,0,NO,63,PRIMER,BALVANERA,3
CORRIENTES 2500,658,1800000,113400000,2736,54,NO,63,PRIMER,BALVANERA,3
CORRIENTES 2600,33,140000,8820000,4242,0,NO,63,PRIMER,BALVANERA,3
CORRIENTES 3094,70,360000,22680000,5143,5,NO,63,PRIMER,BALVANERA,3
CORRIENTES 3096,87,360000,22680000,4138,5,NO,63,PRIMER,BALVANERA,3
DEAN FUNES 600,174,230000,14490000,1322,0,NO,63,PRIMER,BALVANERA,3
ECUADOR 500,180,250000,15750000,1389,0,NO,63,PRIMER,BALVANERA,3
ECUADOR 500,287,260000,16380000,906,35,NO,63,PRIMER,BALVANERA,3
ECUADOR 900,72,110000,6930000,1528,40,NO,63,PRIMER,BALVANERA,3
ENTRE RIOS 700,29,32000,2016000,1103,0,NO,63,PRIMER,BALVANERA,3
ENTRE RIOS 700,30,35000,2205000,1167,0,NO,63,PRIMER,BALVANERA,3
ENTRE RIOS 700,760,1000000,63000000,1316,0,NO,63,PRIMER,BALVANERA,3
ENTRE RIOS 700,52,235000,14805000,4519,0,NO,63,PRIMER,BALVANERA,3
GALLO 800,45,123000,7749000,2733,0,NO,63,PRIMER,BALVANERA,3
GARDEL CARLOS 3100,165,350000,22050000,2121,3,NO,63,PRIMER,BALVANERA,3
GARDEL CARLOS 3160,164,349000,21987000,2128,2,NO,63,PRIMER,BALVANERA,3
GOMEZ VALENTIN 2792,82,490000,30870000,5976,30,NO,63,PRIMER,BALVANERA,3
GOMEZ VALENTIN 3000,60,80000,5040000,1333,0,NO,63,PRIMER,BALVANERA,3
GOMEZ VALENTIN 3200,170,176500,11119500,1038,40,NO,63,PRIMER,BALVANERA,3
JAURES JEAN 252,100,115000,7245000,1150,0,NO,63,PRIMER,BALVANERA,3
JAURES JEAN 300,400,450000,28350000,1125,0,NO,63,PRIMER,BALVANERA,3
JAURES JEAN 332,105,120000,7560000,1143,40,NO,63,PRIMER,BALVANERA,3
JAURES JEAN 800,30,90000,5670000,3000,0,NO,63,PRIMER,BALVANERA,3
JAURES JEAN 800,18,69000,4347000,3833,50,NO,63,PRIMER,BALVANERA,3
JUJUY 100,35,120000,7560000,3429,0,NO,63,PRIMER,BALVANERA,3
JUJUY 100,35,140000,8820000,4000,0,NO,63,PRIMER,BALVANERA,3
JUJUY 100,1121,800000,50400000,714,0,NO,63,PRIMER,BALVANERA,3
JUJUY 300,121,230000,14490000,1901,0,NO,63,PRIMER,BALVANERA,3
JUJUY 500,120,250000,15750000,2083,25,NO,63,PRIMER,BALVANERA,3
JUJUY 800,58,115000,7245000,1983,50,NO,63,PRIMER,BALVANERA,3
JUNIN 100,372,380000,23940000,1022,40,NO,63,PRIMER,BALVANERA,3
JUNIN 400,730,1800000,113400000,2466,0,NO,63,PRIMER,BALVANERA,3
JUNIN 500,670,930000,58590000,1388,28,NO,63,PRIMER,BALVANERA,3
JUNIN 600,126,227000,14301000,1802,45,NO,63,PRIMER,BALVANERA,3
JUNIN 600,512,1600000,100800000,3125,40,NO,63,PRIMER,BALVANERA,3
LA RIOJA 286,153,308000,19404000,2013,30,NO,63,PRIMER,BALVANERA,3
LARREA 500,159,490000,30870000,3082,0,NO,63,PRIMER,BALVANERA,3
LARREA 500,120,750000,47250000,6250,40,NO,63,PRIMER,BALVANERA,3
LARREA 500,125,1000000,63000000,8000,0,NO,63,PRIMER,BALVANERA,3
LAVALLE 2018,50,165000,10395000,3300,35,NO,63,PRIMER,BALVANERA,3
LAVALLE 2168,24,25000,1575000,1042,60,NO,63,PRIMER,BALVANERA,3
LAVALLE 3100,500,1350000,85050000,2700,0,NO,63,PRIMER,BALVANERA,3
MATHEU 100,240,300000,18900000,1250,0,NO,63,PRIMER,BALVANERA,3
MATHEU 760,412,380000,23940000,922,0,SI,63,PRIMER,BALVANERA,3
MEXICO 1800,130,310000,19530000,2385,50,NO,63,PRIMER,BALVANERA,3
MEXICO 3300,318,480000,30240000,1509,34,NO,63,PRIMER,BALVANERA,3
MITRE BARTOLOME 1834,1173,790000,49770000,673,94,NO,63,PRIMER,BALVANERA,3
MITRE BARTOLOME 1900,1145,950000,59850000,830,0,NO,63,PRIMER,BALVANERA,3
MITRE BARTOLOME 2100,498,750000,47250000,1506,0,NO,63,PRIMER,BALVANERA,3
MITRE BARTOLOME 2100,82,125000,7875000,1524,75,NO,63,PRIMER,BALVANERA,3
MITRE BARTOLOME 2200,180,650000,40950000,3611,0,NO,63,PRIMER,BALVANERA,3
MORENO 1900,125,98000,6174000,784,50,NO,63,PRIMER,BALVANERA,3
MORENO 2073,70,115000,7245000,1643,45,NO,63,PRIMER,BALVANERA,3
PASCO 400,32,64000,4032000,2000,45,NO,63,PRIMER,BALVANERA,3
PASO 400,750,2850000,179550000,3800,30,NO,63,PRIMER,BALVANERA,3
PASO 600,60,190000,11970000,3167,30,NO,63,PRIMER,BALVANERA,3
PASO 600,130,495000,31185000,3808,0,NO,63,PRIMER,BALVANERA,3
PASO 627,280,700000,44100000,2500,0,NO,63,PRIMER,BALVANERA,3
PASO 693,84,280000,17640000,3333,0,NO,63,PRIMER,BALVANERA,3
PASTEUR 200,190,690000,43470000,3632,50,NO,63,PRIMER,BALVANERA,3
PASTEUR 346,55,165000,10395000,3000,40,NO,63,PRIMER,BALVANERA,3
PASTEUR 700,48,180000,11340000,3750,60,NO,63,PRIMER,BALVANERA,3
PASTEUR 88,150,590000,37170000,3933,20,NO,63,PRIMER,BALVANERA,3
PERON JUAN DOMINGO  TTE. 1900,103,89000,5607000,864,30,NO,63,PRIMER,BALVANERA,3
PICHINCHA 500,193,250000,15750000,1295,0,NO,63,PRIMER,BALVANERA,3
PICHINCHA 800,84,140000,8820000,1667,40,NO,63,PRIMER,BALVANERA,3
PUEYRREDON 600,225,1500000,94500000,6667,0,NO,63,PRIMER,BALVANERA,3
PUEYRREDON 631,135,560000,35280000,4148,70,NO,63,PRIMER,BALVANERA,3
PUEYRREDON 700,175,650000,40950000,3714,40,NO,63,PRIMER,BALVANERA,3
PUEYRREDON 800,240,1000000,63000000,4167,0,NO,63,PRIMER,BALVANERA,3
PUEYRREDON 870,330,990000,62370000,3000,0,NO,63,PRIMER,BALVANERA,3
RINCON 100,109,234000,14742000,2147,0,NO,63,PRIMER,BALVANERA,3
RINCON 100,32,80000,5040000,2500,0,NO,63,PRIMER,BALVANERA,3
RINCON 101,30,65000,4095000,2167,40,SI,63,PRIMER,BALVANERA,3
RINCON 101,30,73000,4599000,2433,20,NO,63,PRIMER,BALVANERA,3
RINCON 444,47,75000,4725000,1596,50,NO,63,PRIMER,BALVANERA,3
RINCON 700,61,107000,6741000,1754,50,NO,63,PRIMER,BALVANERA,3
RINCON 89,109,105000,6615000,963,43,NO,63,PRIMER,BALVANERA,3
RIVADAVIA 2100,236,590000,37170000,2500,0,NO,63,PRIMER,BALVANERA,3
RIVADAVIA 2700,200,270000,17010000,1350,40,NO,63,PRIMER,BALVANERA,3
RIVADAVIA 2900,238,650000,40950000,2731,40,NO,63,PRIMER,BALVANERA,3
RIVADAVIA 3000,140,390000,24570000,2786,20,NO,63,PRIMER,BALVANERA,3
RIVADAVIA 3000,140,395000,24885000,2821,35,NO,63,PRIMER,BALVANERA,3
RIVADAVIA 3200,90,250000,15750000,2778,0,NO,63,PRIMER,BALVANERA,3
SAAVEDRA 100,50,89000,5607000,1780,35,NO,63,PRIMER,BALVANERA,3
SAAVEDRA 300,125,160000,10080000,1280,50,NO,63,PRIMER,BALVANERA,3
SAN LUIS 2400,34,59500,3748500,1750,45,NO,63,PRIMER,BALVANERA,3
SAN LUIS 3100,98,210000,13230000,2143,50,NO,63,PRIMER,BALVANERA,3
SARMIENTO 1940,125,290000,18270000,2320,35,NO,63,PRIMER,BALVANERA,3
SARMIENTO 2000,110,179000,11277000,1627,30,NO,63,PRIMER,BALVANERA,3
SARMIENTO 2400,260,1750000,110250000,6731,40,NO,63,PRIMER,BALVANERA,3
TUCUMAN 2100,140,265000,16695000,1893,50,NO,63,PRIMER,BALVANERA,3
TUCUMAN 2200,95,180000,11340000,1895,50,NO,63,PRIMER,BALVANERA,3
TUCUMAN 2200,52,180000,11340000,3462,0,NO,63,PRIMER,BALVANERA,3
TUCUMAN 2300,207,580000,36540000,2802,50,NO,63,PRIMER,BALVANERA,3
TUCUMAN 2500,90,300000,18900000,3333,0,NO,63,PRIMER,BALVANERA,3
TUCUMAN 2700,173,259000,16317000,1497,55,NO,63,PRIMER,BALVANERA,3
TUCUMAN 3300,47,117500,7402500,2500,0,NO,63,PRIMER,BALVANERA,3
URIBURU 100,85,355000,22365000,4176,0,NO,63,PRIMER,BALVANERA,3
URIBURU 200,95,420000,26460000,4421,0,NO,63,PRIMER,BALVANERA,3
URIBURU 252,65,420000,26460000,6462,50,NO,63,PRIMER,BALVANERA,3
URIBURU 500,50,99000,6237000,1980,0,NO,63,PRIMER,BALVANERA,3
URIBURU 500,50,100000,6300000,2000,0,NO,63,PRIMER,BALVANERA,3
URIBURU 600,69,195000,12285000,2826,60,NO,63,PRIMER,BALVANERA,3
URIBURU 85,65,120000,7560000,1846,0,NO,63,PRIMER,BALVANERA,3
URQUIZA GRAL. 200,500,1200000,75600000,2400,0,NO,63,PRIMER,BALVANERA,3
URQUIZA GRAL. 50,290,299000,18837000,1031,40,NO,63,PRIMER,BALVANERA,3
URQUIZA GRAL. 600,295,450000,28350000,1525,0,NO,63,PRIMER,BALVANERA,3
URQUIZA GRAL. 700,46,98000,6174000,2130,63,NO,63,PRIMER,BALVANERA,3
VENEZUELA 1834,180,180000,11340000,1000,40,NO,63,PRIMER,BALVANERA,3
VENEZUELA 1902,250,400000,25200000,1600,50,NO,63,PRIMER,BALVANERA,3
VIAMONTE 2100,109,330000,20790000,3028,0,NO,63,PRIMER,BALVANERA,3
VIAMONTE 2100,144,450000,28350000,3125,0,NO,63,PRIMER,BALVANERA,3
VIAMONTE 2300,200,250000,15750000,1250,40,NO,63,PRIMER,BALVANERA,3
VIAMONTE 2600,190,295000,18585000,1553,0,NO,63,PRIMER,BALVANERA,3
VIAMONTE 2600,240,390000,24570000,1625,0,NO,63,PRIMER,BALVANERA,3
VIAMONTE 2917,198,200000,12600000,1010,0,NO,63,PRIMER,BALVANERA,3
YRIGOYEN HIPOLITO 1900,192,300000,18900000,1562,0,NO,63,PRIMER,BALVANERA,3
YRIGOYEN HIPOLITO 2400,23,80000,5040000,3478,25,NO,63,PRIMER,BALVANERA,3
YRIGOYEN HIPOLITO 2500,150,180000,11340000,1200,85,NO,63,PRIMER,BALVANERA,3
YRIGOYEN HIPOLITO 2900,782,1349000,84987000,1725,0,NO,63,PRIMER,BALVANERA,3
YRIGOYEN HIPOLITO 3100,265,395000,24885000,1491,0,NO,63,PRIMER,BALVANERA,3
YRIGOYEN HIPOLITO 3100,36,179000,11277000,4972,0,NO,63,PRIMER,BALVANERA,3
YRIGOYEN HIPOLITO 3199,178,345000,21735000,1938,0,NO,63,PRIMER,BALVANERA,3
ZELAYA 3006,525,430000,27090000,819,0,NO,63,PRIMER,BALVANERA,3
BRASIL 1100,492,882000,55566000,1793,0,NO,63,PRIMER,CONSTITUCION,1
BRASIL 1200,249,675000,42525000,2711,0,NO,63,PRIMER,CONSTITUCION,1
BRASIL 1300,233,1100000,69300000,4721,40,NO,63,PRIMER,CONSTITUCION,1
BRASIL 1500,83,82000,5166000,988,0,NO,63,PRIMER,CONSTITUCION,1
BRASIL 900,212,219000,13797000,1033,60,NO,63,PRIMER,CONSTITUCION,1
BRASIL 900,212,245000,15435000,1156,0,NO,63,PRIMER,CONSTITUCION,1
CEVALLOS VIRREY 1100,110,220000,13860000,2000,0,NO,63,PRIMER,CONSTITUCION,1
CEVALLOS VIRREY 1600,153,210000,13230000,1373,0,NO,63,PRIMER,CONSTITUCION,1
COCHABAMBA 1700,52,65000,4095000,1250,60,NO,63,PRIMER,CONSTITUCION,1
CONSTITUCION 1200,200,115000,7245000,575,80,NO,63,PRIMER,CONSTITUCION,1
CONSTITUCION 1300,42,70000,4410000,1667,20,NO,63,PRIMER,CONSTITUCION,1
ENTRE RIOS 1600,58,70000,4410000,1207,50,NO,63,PRIMER,CONSTITUCION,1
ENTRE RIOS 1600,66,105000,6615000,1591,0,NO,63,PRIMER,CONSTITUCION,1
ENTRE RIOS 2000,121,170000,10710000,1405,65,NO,63,PRIMER,CONSTITUCION,1
ESTADOS UNIDOS 900,31,105000,6615000,3387,0,NO,63,PRIMER,CONSTITUCION,1
GARAY JUAN DE 1201,1300,798000,50274000,614,1,NO,63,PRIMER,CONSTITUCION,1
GARAY JUAN DE 1400,28,59000,3717000,2107,70,NO,63,PRIMER,CONSTITUCION,1
INDEPENDENCIA 1700,99,600000,37800000,6061,0,NO,63,PRIMER,CONSTITUCION,1
INDEPENDENCIA 1800,150,190000,11970000,1267,45,NO,63,PRIMER,CONSTITUCION,1
INDEPENDENCIA 1800,164,220000,13860000,1341,70,NO,63,PRIMER,CONSTITUCION,1
INDEPENDENCIA 1800,89,180000,11340000,2022,70,NO,63,PRIMER,CONSTITUCION,1
IRIGOYEN BERNARDO DE 1000,139,156000,9828000,1122,70,NO,63,PRIMER,CONSTITUCION,1
IRIGOYEN BERNARDO DE 1000,142,173500,10930500,1222,70,NO,63,PRIMER,CONSTITUCION,1
IRIGOYEN BERNARDO DE 1300,111,160000,10080000,1441,40,NO,63,PRIMER,CONSTITUCION,1
IRIGOYEN BERNARDO DE 1300,111,175000,11025000,1577,0,NO,63,PRIMER,CONSTITUCION,1
IRIGOYEN BERNARDO DE 1300,961,450000,28350000,468,40,NO,63,PRIMER,CONSTITUCION,1
IRIGOYEN BERNARDO DE 1500,332,345000,21735000,1039,0,NO,63,PRIMER,CONSTITUCION,1
IRIGOYEN BERNARDO DE 1500,285,379000,23877000,1330,0,NO,63,PRIMER,CONSTITUCION,1
IRIGOYEN BERNARDO DE 1500,82,75000,4725000,915,0,NO,63,PRIMER,CONSTITUCION,1
SALTA 1000,80,175000,11025000,2188,0,NO,63,PRIMER,CONSTITUCION,1
SALTA 1100,97,60000,3780000,619,50,NO,63,PRIMER,CONSTITUCION,1
SALTA 1100,87,59900,3773700,689,10,NO,63,PRIMER,CONSTITUCION,1
SAN JOSE 1300,257,300000,18900000,1167,70,NO,63,PRIMER,CONSTITUCION,1
SAN JUAN 1300,90,120000,7560000,1333,30,SI,63,PRIMER,CONSTITUCION,1
SAN JUAN 1300,40,110000,6930000,2750,0,SI,63,PRIMER,CONSTITUCION,1
